Date,Open,High,Low,Close,Adj Close,Volume
18-08-2022,1594.099976,1598.199951,1574,1582.949951,1582.949951,4635706
19-08-2022,1585.300049,1604.900024,1585.099976,1597.099976,1597.099976,4739884
22-08-2022,1586,1599,1574,1575.650024,1575.650024,3950555
23-08-2022,1548,1554.5,1533,1542.400024,1542.400024,5551574
24-08-2022,1535,1546,1531,1537.5,1537.5,2888426
25-08-2022,1548,1548.699951,1513.75,1518.150024,1518.150024,4331088
26-08-2022,1535.150024,1544.949951,1517.449951,1521.550049,1521.550049,3079136
29-08-2022,1468.550049,1468.550049,1450,1461.75,1461.75,8079050
30-08-2022,1473.099976,1496.099976,1466,1492.949951,1492.949951,6725875
01-09-2022,1460.050049,1468.099976,1451.050049,1464.199951,1464.199951,8140604
02-09-2022,1478,1478,1448,1453,1453,5175653
05-09-2022,1451,1467,1446.349976,1461.300049,1461.300049,3669352
06-09-2022,1461.300049,1470,1445.449951,1455.099976,1455.099976,3428442
07-09-2022,1440,1465.75,1438.050049,1457.650024,1457.650024,3600574
08-09-2022,1475,1481.099976,1463.599976,1475.900024,1475.900024,4061475
09-09-2022,1488,1520,1480,1511.650024,1511.650024,4816910
12-09-2022,1525.800049,1545.900024,1521.150024,1536.199951,1536.199951,5494819
13-09-2022,1551.900024,1553,1541.300049,1544.949951,1544.949951,4947158
14-09-2022,1497,1498.949951,1472,1475.400024,1475.400024,14332197
15-09-2022,1475,1475.199951,1429.050049,1432.800049,1432.800049,12784100
16-09-2022,1425,1425,1368.349976,1377.050049,1377.050049,20464045
19-09-2022,1392,1406,1380.599976,1390.300049,1390.300049,6595241
20-09-2022,1407.949951,1413.550049,1385.099976,1388.550049,1388.550049,7219797
21-09-2022,1379.900024,1388.800049,1368.400024,1377.25,1377.25,7917054
22-09-2022,1366.349976,1383.949951,1360,1367.949951,1367.949951,9168498
23-09-2022,1367.5,1394.800049,1362,1365.449951,1365.449951,10426200
26-09-2022,1360,1399.449951,1355,1380.25,1380.25,9414587
27-09-2022,1393.449951,1406.5,1378,1393.550049,1393.550049,8561254
28-09-2022,1379,1405.849976,1377,1394.699951,1394.699951,7022098
29-09-2022,1404.900024,1409.849976,1393,1398.650024,1398.650024,6119965
30-09-2022,1388.949951,1419.300049,1376,1413.449951,1413.449951,8120130
03-10-2022,1412,1412,1386,1393.75,1393.75,4943169
04-10-2022,1419.699951,1432.25,1414,1429.400024,1429.400024,6631341
06-10-2022,1445,1459.800049,1444.099976,1455.150024,1455.150024,6180672
07-10-2022,1446.349976,1457.849976,1440.150024,1451.199951,1451.199951,3994466
10-10-2022,1426.349976,1465,1426.349976,1462.650024,1462.650024,5274677
11-10-2022,1462.650024,1479.650024,1420.099976,1423.800049,1423.800049,12824774
12-10-2022,1437,1441.099976,1413.550049,1428.699951,1428.699951,5481467
13-10-2022,1431,1437.949951,1415,1419.900024,1419.900024,4821514
14-10-2022,1485,1494,1467.25,1474.25,1474.25,14987352
